schema_version	property_id	claim_id	milestone	tool	suite	target_id	model_path	query_or_lemma	formula_sha256	property_kind	expected_status	expected_evidence_class	execution_scope	conditional_interface	required	timeout_seconds	memory_policy	expectation_source_path	expectation_source_commit	expectation_source_blob	regression_matrix_path	regression_matrix_commit	regression_matrix_blob	notes
1	tam-combined-replay-normal_confirmed_single_accept	P3	M4	tamarin-prover	combined-replay	normal_confirmed_single_accept	tamarin/replay/kwaay_replay_hmac_dedup.spthy	normal_confirmed_single_accept	4d4f3b78cafdc235888cc88ea57815cdd6554418005428601a0d2617ad303569	non_vacuity	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-normal_confirmed_batch_complete	P3	M4	tamarin-prover	combined-replay	normal_confirmed_batch_complete	tamarin/replay/kwaay_replay_hmac_dedup.spthy	normal_confirmed_batch_complete	522395300e4896c63d79054405d6db30f0d542f1637d81fb6ff03bc112c156f1	non_vacuity	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-confirmed_receiver_accept_has_sender	P3	M4	tamarin-prover	combined-replay	confirmed_receiver_accept_has_sender	tamarin/replay/kwaay_replay_hmac_dedup.spthy	confirmed_receiver_accept_has_sender	46d94c8acc7539c15370e31d8d45d39ffa956fef94edf2b0bd770cc7cfa32d50	structural_result	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-confirmed_message_unique_send	P3	M4	tamarin-prover	combined-replay	confirmed_message_unique_send	tamarin/replay/kwaay_replay_hmac_dedup.spthy	confirmed_message_unique_send	7f6976a97718d23fccd7be7e08bc056c4d6541ee5742e05eeb359308e9954178	direct_theorem	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-one_confirmed_send_two_accepts_exists	P3	M4	tamarin-prover	combined-replay	one_confirmed_send_two_accepts_exists	tamarin/replay/kwaay_replay_hmac_dedup.spthy	one_confirmed_send_two_accepts_exists	bf52523e2087bfe80d2bd0109e18f5fa533284814763eea78e295dd004b3c252	blocked_attack_witness_regression	falsified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-confirmed_message_accepted_at_most_once	P3	M4	tamarin-prover	combined-replay	confirmed_message_accepted_at_most_once	tamarin/replay/kwaay_replay_hmac_dedup.spthy	confirmed_message_accepted_at_most_once	bb982aa85076f527b1649199a1ca7508469d092ad2af30ca681b74133b2e018d	direct_theorem	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-injective_confirmed_receiver_accept	P3	M4	tamarin-prover	combined-replay	injective_confirmed_receiver_accept	tamarin/replay/kwaay_replay_hmac_dedup.spthy	injective_confirmed_receiver_accept	b18305e767fe15c88b6df706df284e2acb29fe00acec323a6cc38a93fd1cf4a2	direct_theorem	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-slot_indices_distinct	P3	M4	tamarin-prover	combined-replay	slot_indices_distinct	tamarin/replay/kwaay_replay_hmac_dedup.spthy	slot_indices_distinct	3e53939fc5deda287ae7ff0f3d6bcde2386fc2e4f9e871698d522ac2e9393ddd	regression	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-process_requires_slot_added	P3	M4	tamarin-prover	combined-replay	process_requires_slot_added	tamarin/replay/kwaay_replay_hmac_dedup.spthy	process_requires_slot_added	81a6246a22d8b66680b13a10b513a88a4c86a43f2056511556da5c1315802d92	regression	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
1	tam-combined-replay-process_requires_seal	P3	M4	tamarin-prover	combined-replay	process_requires_seal	tamarin/replay/kwaay_replay_hmac_dedup.spthy	process_requires_seal	0bb7b91f43d96818a8b1022780d87d943f6ae9d46076507e731c2f0c13b10c6c	regression	verified	m4-transparent-composite	direct	none	true	300	Run1 systemd MemoryMax=16384MB; Run2 MemoryMax=49152MB; MemorySwapMax=0	tamarin/milestones/run-m4-hmac-dedup.sh	96010c72e71defc775c7c2ee99c937ff700a3227	48fbaa50750b763152dbc117eb1035f8ce807291	logs/tamarin-m4-hmac-dedup/source-run1/canonical-target-matrix.tsv	211ffd0a8ed8a7051d12dcc165566a66e64ab970	c42dd7f7c1094c58b0597c7350f2d733224773c2	historical milestone authority plus independent M4 296-row regression binding
